Keyword;Position;Previous position;Search Volume;Keyword Difficulty;CPC;URL;Traffic;Traffic (%);Traffic Cost;Competition;Number of Results;Trends;Timestamp;SERP Features by Keyword;Keyword Intents;Position Type
beads and stones;18;18;110;24;0.68;https://rezagemcollection.ca/pages/gemstone-beads-category-by-name;0;0;0.00;1;36000000;[100,100,78,78,78,78,78,50,78,64,100,78];2025-08-28;Local pack, Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Organic
ruby zoisite;44;44;390;23;0.30;https://rezagemcollection.ca/blogs/news/ruby-zoisite-meaning;0;0;0.00;0.48;1130000;[39,48,39,48,39,59,26,48,48,48,17,48];2025-09-10;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
rondelle beads;24;24;110;6;0.73;https://rezagemcollection.ca/blogs/news/rondelle-beads-for-jewelry-making;0;0;0.00;1;1250000;[26,53,34,34,53,26,42,34,42,42,42,100];2025-08-24;Image pack, Video, Image, Popular products, Related searches;informational, transactional;Organic
gemstone for the month of october;61;61;390;32;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.2;4130000;[54,54,66,100,66,81,54,44,36,54,36,36];2025-09-03;Image pack, Sitelinks, Video, Related searches, AI overview;informational;Organic
labradorite healing properties;46;46;480;27;0.34;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.07;1080000;[48,48,39,48,39,48,39,39,48,48,48,48];2025-09-07;Image pack, Sitelinks, Image, Related searches, AI overview;informational;Organic
tanzanite gem;82;82;140;33;0.57;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;1;8810000;[42,26,34,42,53,53,65,53,53,65,65,100];2025-09-07;Video, Image, Related searches;commercial;Organic
jade jewelry toronto;73;73;70;18;0.69;https://rezagemcollection.ca/collections/jade-gemstone-beads;0;0;0.00;1;9;[9,6,9,34,34,6,6,34,34,6,34,21];2025-11-19;Local pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
benefits labradorite;18;18;50;7;0.42;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.08;10;[0,0,0,0,0,80,100,0,53,0,0,0];2025-11-15;Image pack, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, Ads middle, AI overview;informational;Organic
benefits labradorite;19;19;50;7;0.42;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.08;10;[0,0,0,0,0,80,100,0,53,0,0,0];2025-11-15;Image pack, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, Ads middle, AI overview;informational;Organic
semi pressure stones;14;14;480;28;0.45;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;0;0;0.00;0.83;15500000;[54,54,66,81,66,44,66,81,66,44,44,66];2025-11-13;Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial, informational;Organic
gemstones toronto;34;34;70;36;0.72;https://rezagemcollection.ca/;0;0;0.00;0.71;2300000;[35,50,50,50,50,50,50,64,78,50,50,14];2025-09-07;Local pack, Image pack, Sitelinks, Video, Related searches;commercial;Organic
crystals topaz;59;59;50;29;0.00;https://rezagemcollection.ca/blogs/news/topaz-gemstones-meaning-price-and-more;0;0;0.00;0.24;17400000;[0,78,0,78,64,14,64,0,0,64,50,0];2025-11-24;Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial;Organic
what is freshwater pearls;50;50;50;25;0.34;https://rezagemcollection.ca/blogs/news/freshwater-pearl-beads;0;0;0.00;0.48;5580000;[81,63,45,45,0,0,0,81,81,81,100,63];2025-09-08;Knowledge panel, Sitelinks, Video, Popular products, Related searches, AI overview;informational;Organic
jewelry supplies toronto;27;27;70;53;0.50;https://rezagemcollection.ca/;0;0;0.00;0.58;11900000;[34,26,34,34,26,42,34,34,34,26,26,7];2025-08-27;Local pack, Image pack, Sitelinks, Image, Popular products, Related searches;commercial;Organic
precious stones jade;27;27;140;39;0.45;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;0;0;0.00;0.4;6240000;[65,65,65,53,0,0,0,81,81,65,0,0];2025-09-09;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;informational, transactional;Organic
tansanite;83;83;90;46;0.66;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.88;14500000;[1,0,0,0,0,10,24,0,0,0,5,4];2025-09-09;Knowledge panel, Sitelinks, Video, Image, People also ask, Popular products, Related searches;informational;Organic
shape gem;36;36;140;18;0.00;https://rezagemcollection.ca/collections/heart-shape-gemstone-beads;0;0;0.00;0.03;63100000;[66,52,52,66,66,66,66,66,66,66,66,66];2025-09-12;Image pack, Video, Image, People also ask, Related searches, AI overview;informational;Organic
blue kyanite crystal meaning;32;32;70;9;0.00;https://rezagemcollection.ca/blogs/news/blue-kyanite-and-green-kyanite-types-properties-and-uses;0;0;0.00;0.03;702000;[36,45,45,36,63,27,100,81,81,63,81,81];2025-08-29;Video, Related searches, Discussions and forums, AI overview;commercial, informational;Organic
stones for october;60;60;320;33;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.2;319000000;[36,36,44,100,54,66,44,19,44,54,36,19];2025-09-10;Image pack, Sitelinks, Video, Featured snippet, People also ask, Popular products, Related searches;informational;Organic
october birth stine;59;59;50;29;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.37;4930000;[5,11,17,17,5,11,100,17,23,5,64,82];2025-09-02;Image pack, Sitelinks, Video, Image, Related searches, AI overview;informational;Organic
bead sizes;49;49;90;10;0.35;https://rezagemcollection.ca/pages/beads-size-chart;0;0;0.00;0.33;10;[64,64,78,50,64,64,78,100,64,64,35,78];2025-11-18;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;informational;Organic
faceted jewelry;22;22;90;14;0.00;https://rezagemcollection.ca/collections/rondelle-shape-faceted-finish-gemstone-beads;0;0;0.00;0.49;5090000;[78,50,64,78,100,78,50,35,50,35,78,64];2025-09-04;Image pack, Video, Image, Related searches;commercial;Organic
faceted jewelry;52;52;90;14;0.00;https://rezagemcollection.ca/collections/round-shape-faceted-finish-gemstone-beads;0;0;0.00;0.49;5090000;[78,50,64,78,100,78,50,35,50,35,78,64];2025-09-04;Image pack, Video, Image, Related searches;commercial;Organic
labradorite properties;1;1;480;33;0.09;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.11;1480000;[31,31,25,31,20,20,25,20,20,20,25,25];2025-11-26;Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;AI overview
labradorite properties;1;1;480;33;0.09;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.11;1480000;[31,31,25,31,20,20,25,20,20,20,25,25];2025-11-26;Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;People also ask
labradorite properties;23;23;480;33;0.09;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.11;1480000;[31,31,25,31,20,20,25,20,20,20,25,25];2025-11-26;Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
tanznite;56;56;140;18;0.56;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.91;10;[0,0,0,100,54,6,4,18,43,6,66,29];2025-11-16;Image pack, Video, Image, Video Carousel, Popular products, Related searches, AI overview;commercial;Organic
tanzenite;83;83;210;44;0.66;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.88;14100000;[67,5,6,8,6,5,8,8,6,55,10,8];2025-08-25;Knowledge panel, Sitelinks, Video, Image, Popular products, Related searches;informational;Organic
what color is october birthstone;20;20;70;32;0.10;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.29;4000000;[78,78,64,78,50,50,50,35,50,14,78,64];2025-11-08;Image pack, Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
yooperlite rock;25;25;170;30;0.31;https://rezagemcollection.ca/collections/yooperlite;0;0;0.00;0.55;273000;[21,5,3,2,2,21,14,14,32,4,32,72];2025-08-16;Image pack, Sitelinks, Video, Image, Related searches, AI overview;informational;Organic
yooperlite rock;42;42;170;30;0.31;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.55;273000;[21,5,3,2,2,21,14,14,32,4,32,72];2025-08-16;Image pack, Sitelinks, Video, Image, Related searches, AI overview;informational;Organic
oct 31 birthstone;42;42;70;33;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.32;86;[11,11,11,64,100,64,29,29,29,41,29,41];2025-09-09;Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
tourmaline black jewelry;55;55;110;5;0.46;https://rezagemcollection.ca/collections/tourmaline-gemstone-beads;0;0;0.00;1;10;[64,82,64,82,52,52,52,41,52,64,41,64];2025-11-09;Image pack, Sitelinks, Video, Image, People also ask, Related searches;commercial;Organic
blue kyanite;39;39;320;25;0.16;https://rezagemcollection.ca/blogs/news/blue-kyanite-and-green-kyanite-types-properties-and-uses;0;0;0.00;0.78;2910000;[24,30,24,24,30,24,24,20,24,24,20,24];2025-09-08;Video, Image, People also ask, Popular products, Related searches;commercial;Organic
metaphysical properties of labradorite;50;50;320;23;0.34;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.07;655000;[54,4,66,66,54,81,66,43,66,66,81,81];2025-09-07;Image pack, Sitelinks, Video, Related searches, AI overview;informational;Organic
birth stone for october;58;58;70;18;0.18;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.53;4280000;[19,23,33,52,33,4,100,19,23,23,33,66];2025-08-24;Sitelinks, Video, Related searches, AI overview;informational;Organic
rare gem;16;16;320;23;0.66;https://rezagemcollection.ca/collections/rare-gemstone-and-rare-gem-beads;0;0;0.00;0.1;61400000;[67,67,67,5,5,7,44,7,7,44,100,54];2025-11-06;Image pack, Sitelinks, Video, People also ask, See results about, AI overview;informational;Organic
tanzanite stone;73;64;1000;45;0.16;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.98;8170000;[46,52,52,68,52,52,52,52,52,68,68,52];2025-11-27;Knowledge panel, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches;informational, transactional;Organic
meaning of apatite stone;68;68;70;14;0.00;https://rezagemcollection.ca/blogs/news/apatite-meaning-healing-properties-colors-shapes-and-jewelry-uses;0;0;0.00;0.09;1200000;[100,81,63,63,45,63,63,63,100,63,63,81];2025-09-05;Image pack, Video, Related searches, AI overview;informational;Organic
gemstones of the caribbean;9;9;110;5;0.00;https://rezagemcollection.ca/collections/larimar;0;0;0.00;0.05;51000000;[7,7,7,7,7,42,42,42,42,80,100,100];2025-09-02;Image, People also ask, Related searches, AI overview;commercial;Organic
gemstone store;20;20;390;50;0.64;https://rezagemcollection.ca/;0;0;0.00;0.37;786000000;[81,100,66,81,54,81,66,29,54,36,44,23];2025-09-06;Local pack, Image pack, Sitelinks, Image, Related searches;commercial;Organic
labradorite crystal meaning;53;53;210;30;0.43;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.03;1480000;[29,43,35,54,43,54,43,43,43,35,43,43];2025-08-23;Image, Related searches, AI overview;informational;Organic
ruby in zoisite;12;12;170;5;0.95;https://rezagemcollection.ca/collections/zoisite-gemstone-beads;0;0;0.00;0.44;10;[15,29,19,36,66,5,5,12,15,12,29,19];2025-11-20;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial;Organic
ruby in zoisite;37;37;170;5;0.95;https://rezagemcollection.ca/blogs/news/ruby-zoisite-meaning;0;0;0.00;0.44;10;[15,29,19,36,66,5,5,12,15,12,29,19];2025-11-20;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial;Organic
sapphire and emerald jewelry;17;17;90;8;0.74;https://rezagemcollection.ca/products/jewelry-set-ruby-sapphire-emerald;0;0;0.00;1;18600000;[64,64,64,50,100,100,78,50,78,50,50,50];2025-08-30;Image pack, Sitelinks, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
sapphire and emerald jewelry;36;36;90;8;0.74;https://rezagemcollection.ca/products/jewlery-set-ruby-sapphire-emerald-set-1;0;0;0.00;1;18600000;[64,64,64,50,100,100,78,50,78,50,50,50];2025-08-30;Image pack, Sitelinks, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
gemstone for october;15;15;50;23;0.17;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.53;325000000;[14,52,42,0,100,4,9,23,19,23,23,9];2025-11-23;Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches, AI overview;informational;Organic
artistic beads;36;36;170;14;0.53;https://rezagemcollection.ca/blogs/bead-journal/how-beads-can-transform-your-jewelry-pieces-into-works-of-art;0;0;0.00;0.98;11900000;[100,100,80,100,80,65,65,65,53,53,53,42];2025-08-29;Local pack, Image pack, Video, Image, Popular products, Related searches;commercial;Organic
white moonstone gemstone;48;48;110;23;0.36;https://rezagemcollection.ca/products/white-moonstone-cylinder-beads;0;0;0.00;0.38;8670000;[64,64,78,78,78,78,100,64,78,64,78,100];2025-09-03;Image pack, Image, Video Carousel, Popular products, Related searches;commercial, informational;Organic
rings with clasps;54;54;50;10;0.37;https://rezagemcollection.ca/collections/sterling-silver-jump-rings;0;0;0.00;0.74;0;[55,77,77,77,100,77,77,77,0,100,0,0];2025-11-19;Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Discussions and forums;informational, transactional;Organic
shell rainbow;10;10;90;21;0.00;https://rezagemcollection.ca/products/orange-rainbow-shell-polished-round-beads;0;0;0.00;0;33100000;[52,52,41,41,52,64,82,52,82,64,52,52];2025-09-10;Image pack, Sitelinks, Video, Image, People also ask, Related searches;informational;Organic
unakite;70;70;1000;31;0.42;https://rezagemcollection.ca/blogs/news/unakite-meaning-properties-and-uses-unakite;0;0;0.00;0.23;1200000;[44,34,44,34,44,30,30,30,30,34,34,34];2025-10-01;Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
tanzinite;64;64;140;44;0.66;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.88;16700000;[2,0,1,0,23,44,29,15,15,15,23,15];2025-08-29;Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches;informational, transactional;Organic
jewelry repair services near me;38;38;720;22;0.00;https://rezagemcollection.ca/pages/jewelry-repair-near-me;0;0;0.00;0.33;64700000;[59,72,72,88,72,59,100,100,88,88,32,48];2025-11-27;Local pack, Sitelinks, Video, Image, People also ask, Related searches;transactional;Organic
emerald deep green;54;54;90;8;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;0;0;0.00;0.02;47900000;[9,33,42,33,42,42,42,42,52,52,52,52];2025-08-29;Image pack, Video, Image, People also ask, Popular products, Related searches;informational;Organic
jewelry byzantine;47;47;70;10;0.46;https://rezagemcollection.ca/products/16-byzantine-chain-22k-gold-plated-925-sterling-silver;0;0;0.00;0.91;4680000;[63,63,63,63,63,63,63,63,63,18,63,63];2025-11-18;Sitelinks, Video, Image, Video Carousel, People also ask, Popular products;commercial;Organic
yooperlite;44;44;2900;16;0.33;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.54;10;[19,16,16,19,16,12,29,19,66,100,54,44];2025-11-08;Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
yooperlite;49;49;2900;16;0.33;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.54;10;[19,16,16,19,16,12,29,19,66,100,54,44];2025-11-08;Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
larimar stone;47;47;1300;43;0.10;https://rezagemcollection.ca/collections/larimar;0;0;0.00;1;3180000;[68,68,68,68,100,84,84,68,52,46,68,84];2025-11-26;Knowledge panel, Sitelinks, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
blue jewels;11;11;110;23;0.60;https://rezagemcollection.ca/collections/blue-gemstones;0;0;0.00;1;170000000;[15,15,15,12,21,9,15,15,65,100,100,15];2025-09-04;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
apatite meaning;60;60;140;28;0.00;https://rezagemcollection.ca/blogs/news/apatite-meaning-healing-properties-colors-shapes-and-jewelry-uses;0;0;0.00;0.01;6000000;[29,29,29,23,23,19,15,15,12,19,15,15];2025-08-24;Instant answer, Image pack, Video, Featured snippet, People also ask, Related searches;informational;Organic
black pearl pendant;4;4;50;17;1.10;https://rezagemcollection.ca/blogs/news/black-pearls;0;0;0.00;1;97;[5,5,5,7,28,28,28,7,28,5,7,5];2025-09-08;Image pack, Video, Image, People also ask, Popular products, Related searches;commercial;People also ask
sunstone crystal;1;1;170;7;3.39;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.53;10;[43,35,29,29,29,29,35,29,35,43,43,54];2025-11-07;Image pack, Sitelinks, Video, Image, People also ask, Related searches;commercial;People also ask
sunstone crystal;1;1;170;7;3.39;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.53;10;[43,35,29,29,29,29,35,29,35,43,43,54];2025-11-07;Image pack, Sitelinks, Video, Image, People also ask, Related searches;commercial;People also ask
sunstone crystal;11;11;170;7;3.39;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.53;10;[43,35,29,29,29,29,35,29,35,43,43,54];2025-11-07;Image pack, Sitelinks, Video, Image, People also ask, Related searches;commercial;Organic
tanzanite precious stone;25;61;140;23;0.28;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.96;2900000;[9,9,52,80,100,52,66,66,52,100,80,100];2025-11-28;Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos;commercial;Organic
beads and gems;13;13;170;29;0.53;https://rezagemcollection.ca/collections/beads;0;0;0.00;1;8;[65,43,53,65,65,34,53,65,53,34,43,53];2025-11-18;Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches;commercial;Organic
labradorite gemstone meaning;19;19;140;32;0.43;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.03;2150000;[52,80,66,80,80,100,80,52,100,52,66,42];2025-08-25;Video, Image, Related searches, AI overview;informational;Organic
gemstone jewellery canada;29;29;50;13;0.72;https://rezagemcollection.ca/;0;0;0.00;1;21200000;[55,55,0,55,55,100,77,100,55,77,55,77];2025-08-20;Local pack, Image pack, Sitelinks, Image, People also ask, Popular products, Related searches;commercial;Organic
gemstone jewellery canada;91;91;50;13;0.72;https://rezagemcollection.ca/pages/gemstone-beads-category-by-name;0;0;0.00;1;21200000;[55,55,0,55,55,100,77,100,55,77,55,77];2025-08-20;Local pack, Image pack, Sitelinks, Image, People also ask, Popular products, Related searches;commercial;Organic
types of beads;30;30;170;23;0.23;https://rezagemcollection.ca/blogs/news/the-different-finishes-and-styles-of-beads-you-need-to-know;0;0;0.00;0.34;151000000;[80,80,66,80,80,66,80,80,80,80,100,80];2025-09-10;Image pack, Video, Image, People also ask, Related searches, AI overview;commercial, informational;Organic
sunstone gemstone meaning;20;20;140;20;0.00;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.01;938000;[65,65,65,53,65,0,0,53,65,80,53,65];2025-08-26;Video, People also ask, Related searches, AI overview;informational;Organic
collectionary store;94;94;70;23;0.36;https://rezagemcollection.ca/;0;0;0.00;0.08;4010000000;[78,100,78,78,0,0,0,100,78,100,0,0];2025-09-09;Knowledge panel, Image pack, Sitelinks, Image, Related searches;informational;Organic
unakite stone;1;1;320;8;0.42;https://rezagemcollection.ca/collections/unakite;0;0;0.00;0.5;10;[66,43,43,66,54,43,66,66,66,81,81,66];2025-11-12;Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview;commercial;AI overview
unakite stone;39;39;320;8;0.42;https://rezagemcollection.ca/collections/unakite;0;0;0.00;0.5;10;[66,43,43,66,54,43,66,66,66,81,81,66];2025-11-12;Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview;commercial;Organic
emerald rings jewelry;40;40;1600;16;0.72;https://rezagemcollection.ca/collections/emerald-ring;0;0;0.00;1;25600000;[13,10,16,10,36,43,54,100,65,43,4,5];2025-10-05;Knowledge panel, Sitelinks, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
larinar;11;11;70;10;0.21;https://rezagemcollection.ca/collections/larimar;0;0;0.00;0.9;6;[6,6,9,21,12,9,12,100,9,15,12,15];2025-11-19;Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview;informational;Organic
sunstone properties healing;20;20;110;16;0.00;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.02;923000;[66,66,52,42,0,52,66,42,66,66,52,52];2025-08-16;Image pack, People also ask, Related searches, Discussions and forums, AI overview;informational;Organic
birthstone topaz;1;1;70;13;0.48;https://rezagemcollection.ca/blogs/news/topaz-gemstones-meaning-price-and-more;0;0;0.00;0.64;10;[9,9,42,100,23,33,19,33,42,42,33,33];2025-11-16;Knowledge panel, Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, AI overview;informational;People also ask
gemstone retailer;26;26;50;46;0.00;https://rezagemcollection.ca/products/gemstone-and-jewellery-wholesale-shopping-canada;0;0;0.00;0.25;14000000;[18,18,18,18,100,18,100,100,100,18,18,18];2025-09-02;Local pack, Image pack, Sitelinks, Image, Popular products, Related searches;commercial;Organic
apatite stone meaning;67;67;70;25;0.00;https://rezagemcollection.ca/blogs/news/apatite-meaning-healing-properties-colors-shapes-and-jewelry-uses;0;0;0.00;0.09;1250000;[5,4,3,3,1,3,3,3,5,3,3,4];2025-08-27;Video, Featured snippet, Related searches, AI overview;informational;Organic
october stone;62;62;320;26;0.28;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.2;1530000000;[36,36,54,81,54,54,29,29,36,29,44,44];2025-08-31;Image pack, Sitelinks, Video, Image, Related searches, AI overview;informational;Organic
labradorite benefits;42;42;260;23;0.42;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.04;1420000;[54,54,43,54,81,54,54,54,43,43,43,43];2025-09-11;Video, Image, People also ask, Related searches, AI overview;informational;Organic
lapis lazuli beads;16;16;70;7;0.46;https://rezagemcollection.ca/collections/lapis-lazuli-gemstone-beads;0;0;0.00;1;4890000;[3,2,2,2,3,3,2,2,2,2,2,0];2025-08-25;Image pack, Video, Image, Popular products, Related searches;transactional;Organic
green precious stone;1;1;50;20;0.62;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;0;0;0.00;0.36;84500000;[0,5,10,5,0,0,0,0,2,0,100,23];2025-09-02;Image pack, Video, Image, People also ask, Related searches, AI overview;informational;AI overview
real ruby ring;48;48;50;9;0.42;https://rezagemcollection.ca/collections/ruby-ring;0;0;0.00;0.99;70800000;[4,3,4,3,3,4,4,1,2,3,3,1];2025-09-02;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums;commercial;Organic
shungite properties;45;45;170;24;0.20;https://rezagemcollection.ca/blogs/news/shungite-beads-for-jewelry-making;0;0;0.00;0.11;571000;[28,23,28,23,35,28,18,18,28,28,28,23];2025-08-23;Image pack, Sitelinks, People also ask, Related searches, AI overview;informational;Organic
bead measurement chart;39;39;70;23;0.00;https://rezagemcollection.ca/pages/beads-size-chart;0;0;0.00;0.18;11700000;[64,50,50,50,50,50,64,50,50,50,64,64];2025-09-07;Image pack, Video, Image, Related searches;commercial, informational;Organic
tanzanitr;65;65;210;44;0.66;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.88;13400000;[0,0,0,0,0,0,0,0,0,100,0,1];2025-08-26;Knowledge panel, Sitelinks, Video, Image, Popular products, Related searches;informational;Organic
fresh water pearls;42;42;320;18;1.10;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;33200000;[13,16,55,10,24,30,20,20,30,24,24,24];2025-09-08;Image pack, Video, Image, Shopping ads, People also ask, Popular products, Related searches;commercial, informational;Organic
october birthstone and meaning;50;50;90;24;0.00;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.05;960000;[78,64,78,50,64,64,50,50,50,50,64,78];2025-09-05;Image pack, Video, Related searches, AI overview;informational;Organic
color october birthstone;21;21;50;28;0.12;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.51;5180000;[28,35,14,100,0,14,7,100,78,21,50,35];2025-11-13;Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
saltwater vs freshwater pearls;1;1;70;12;0.28;https://rezagemcollection.ca/blogs/news/freshwater-pearl-beads;0;0;0.00;0.12;589000;[63,63,63,63,63,100,63,63,63,63,63,63];2025-09-10;Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview;informational;People also ask
rubby ring;62;62;170;9;0.66;https://rezagemcollection.ca/collections/ruby-ring;0;0;0.00;1;111000000;[100,0,0,0,0,0,0,0,0,0,0,0];2025-09-12;Image pack, Sitelinks, Video, Image, Popular products, Related searches;informational, transactional;Organic
white agate;33;33;170;11;0.00;https://rezagemcollection.ca/blogs/news/white-agate-gemstone-beads;0;0;0.00;0.14;25900000;[54,35,35,35,35,35,35,43,35,29,43,43];2025-11-06;Image pack, Video, Image, People also ask;transactional;Organic
calcite crystal;16;16;480;43;0.13;https://rezagemcollection.ca/collections/calcite-gemstone-beads;0;0;0.00;0.34;13400000;[36,36,36,36,30,30,30,30,30,30,30,24];2025-09-01;Knowledge panel, Video, Image, People also ask, Related searches, AI overview;informational;Organic
sea water pearls;54;54;50;15;1.06;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;0.99;24800000;[21,50,35,21,50,50,35,28,50,35,21,28];2025-09-06;Image pack, Video, Image, Popular products, Related searches;commercial;Organic
green stones;1;1;720;25;0.52;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;0;0;0.00;0.53;2530000000;[100,39,100,39,100,88,39,59,100,48,59,100];2025-10-07;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;informational;AI overview
sunstone crystal healing properties;25;25;110;21;0.00;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.02;1390000;[66,66,52,42,52,52,66,42,52,52,52,52];2025-09-02;Image pack, Video, Image, People also ask, Related searches, AI overview;informational;Organic
stone for october born;37;37;170;35;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.37;743000000;[1,1,1,1,1,1,1,1,1,1,1,100];2025-09-10;Image pack, Sitelinks, Video, Ads bottom, People also ask, Popular products, Related searches, Ads middle, AI overview;commercial, informational;Organic
